Reference, Value, Footprint, Datasheet, Cost QTY: 1, Cost QTY: 1000, Cost QTY: 10000, Cost QTY: 2500, Cost QTY: 5000, Date Created, Date Modified, Description, Designer, Height, Lead-Free ?, MFR, MFR#, Management_ID, Mounting, Package, Pin Count #, RoHS Levels, Status, Tolerance, Type, Vendor, Vendor #, Voltage, _Value_
"R16","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"R15","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"D9","B240A-13-F","growbox-KiCAD-Diodes:B240A-13-F","https://www.diodes.com/assets/Datasheets/ds13004.pdf","0.41000","0.10100","0.07828","0.09242","0.08838","3/30/2020","3/30/2020","Diode Schottky 40V 2A Surface Mount SMA","AVR","0.73mm","Yes","Diodes Incorporated","B240A-13-F","*","SMT","DO-214AC, SMA","2","1","Active","*","TVS Diode","Digikey","B240A-FDICT-ND","40V","B240A-13-F"
"D5","LTST-C194TBKT","growbox-KiCAD-Diodes:LED0603","http://optoelectronics.liteon.com/upload/download/DS22-2010-0025/LTST-C194TBKT.PDF","0.42000","0.07797","0.05424","*","0.06102","3/1/2020","3/1/2020","Blue 468nm LED Indication - Discrete 3.3V 0603 (1608 Metric)","AVR","0.45mm","Yes","Lite-On Inc.","LTST-C194TBKT","*","SMT","0603","2","1","Active","*","Blue LED Colorless","Digikey","160-1837-2-ND","3.3V","Blue LED"
"C11","GRM155R71E104KE14J","growbox-KiCAD-Capacitors:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf","0.10000","0.00941","*","0.00855","0.00787","2/28/2020","2/28/2020","0.1µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","AVR","0.55mm","Yes","Murata Electronics","GRM155R71E104KE14J","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","490-14603-1-ND","25V","0.1uF"
"C10","GRM155R71E104KE14J","growbox-KiCAD-Capacitors:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf","0.10000","0.00941","*","0.00855","0.00787","2/28/2020","2/28/2020","0.1µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","AVR","0.55mm","Yes","Murata Electronics","GRM155R71E104KE14J","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","490-14603-1-ND","25V","0.1uF"
"C12","GRM155R71E104KE14J","growbox-KiCAD-Capacitors:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf","0.10000","0.00941","*","0.00855","0.00787","2/28/2020","2/28/2020","0.1µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","AVR","0.55mm","Yes","Murata Electronics","GRM155R71E104KE14J","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","490-14603-1-ND","25V","0.1uF"
"R23","RC0402FR-071KL","AVR-KiCAD-Lib-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00289","0.00163","0.00251","0.00207","12/11/2019","12/11/2019"," kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","Yageo","RC0402FR-071KL","*","SMT","0402","2","1","Active","1%","Thick Film Resistor","Digikey","311-1.00KLRTR-ND","*","1K"
"C9","GRM155R71E104KE14J","growbox-KiCAD-Capacitors:C0402","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71E104KE14-01.pdf","0.10000","0.00941","*","0.00855","0.00787","2/28/2020","2/28/2020","0.1µF ±10% 25V Ceramic Capacitor X7R 0402 (1005 Metric)","AVR","0.55mm","Yes","Murata Electronics","GRM155R71E104KE14J","*","SMT","0402","2","1","Active","10%","Ceramic Cap","Digikey","490-14603-1-ND","25V","0.1uF"
"Q1","IRLML6346TRPBF","growbox-KiCAD-Transistors:SOT-23","https://www.infineon.com/dgdl/irlml6346pbf.pdf?fileId=5546d462533600a401535668a336262e","0.42000","0.10260","0.08978","*","0.09388","4/1/2020","4/1/2020","N-Channel 30V 3.4A (Ta) 1.3W (Ta) Surface Mount Micro3™/SOT-23","AVR","1.12mm","Yes","Infineon Technologies","IRLML6346TRPBF","*","SMT","SOT23","3","1","Active","*","N-Channel MOSFET","Digikey","IRLML6346TRPBFCT-ND","30V","IRLML6346TRPBF"
"R18","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"R17","RC0402FR-0710RL","growbox-KiCAD-Resistors:R0402","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf","0.10000","0.00435","0.00246","0.00377","0.00312","4/1/2020","4/1/2020","10 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film","AVR","0.4mm","Yes","0.00246","RC0402FR-0710RL","*","SMT","0402","2","1","Active","1%","Thick FIlm Resistor","Digikey","311-10.0LRCT-ND","*","10R"
"D10","B240A-13-F","growbox-KiCAD-Diodes:B240A-13-F","https://www.diodes.com/assets/Datasheets/ds13004.pdf","0.41000","0.10100","0.07828","0.09242","0.08838","3/30/2020","3/30/2020","Diode Schottky 40V 2A Surface Mount SMA","AVR","0.73mm","Yes","Diodes Incorporated","B240A-13-F","*","SMT","DO-214AC, SMA","2","1","Active","*","TVS Diode","Digikey","B240A-FDICT-ND","40V","B240A-13-F"
